Location,Sale Date,Sale Price,Model,Living Area,Nbhd
7717 W 84TH ST,10/07/2022,"$480,000.00",Residential,1654,Highwood
7704 W 85TH ST CIR,05/15/2021,"$505,000.00",Residential,1900,Highwood
7700 W 85TH ST CIR,08/26/2020,"$400,000.00",Residential,1744,Highwood
7608 W 85TH ST,05/28/2021,"$530,000.00",Residential,2376,Highwood
7601 W 84TH ST,08/05/2022,"$519,000.00",Residential,1758,Highwood
10550 QUEEN AVE S,01/15/2021,"$289,000.00",Residential,1040,Dwan
7709 W 99TH ST CIR,06/27/2022,"$650,000.00",Residential,2727,Bush Lake
8213 W 93RD ST CIR,09/27/2022,"$675,000.00",Residential,2130,Bush Lake
8011 W 86TH ST CIR,07/28/2021,"$650,000.00",Residential,2946,Bush Lake
8116 W 86TH ST CIR,12/07/2020,"$509,000.00",Residential,2041,Bush Lake
5338 PAOLA CIR,10/19/2021,"$1,100,000.00",Residential,3976,Norman Ridge Sub Nbh
5314 PAOLA CIR,07/15/2021,"$820,000.00",Residential,3668,Norman Ridge Sub Nbh
10700 BLOOMINGTON FERRY RD,02/22/2022,"$3,150,000.00",Commercial,3200,
10750 BLOOMINGTON FERRY RD,02/22/2022,"$3,150,000.00",Commercial,15016,
8449 XYLON CIR,01/15/2020,"$450,000.00",Residential,1480,Highwood
8456 XYLON CIR,06/05/2020,"$477,500.00",Residential,1908,Highwood
8747 CHICAGO AVE S,07/06/2022,"$325,000.00",Residential,1040,Running Park
8126 UTAH AVE S,03/10/2022,"$626,000.00",Residential,2795,Highwood
8101 W BUSH LAKE RD,10/28/2020,"$531,000.00",Residential,1775,Highwood
5304 RIVER BLUFF CIR,07/21/2020,"$475,000.00",Residential,3230,Auto Club
7009 W 83RD ST,09/11/2020,"$495,000.00",Residential,2439,Highwood
8251 WYOMING AVE S,02/10/2022,"$815,000.00",Residential,2986,Highwood
8640 LAKEVIEW RD,04/09/2020,"$435,000.00",Residential,1698,Bush Lake
8649 PINE HILL RD,07/25/2022,"$480,000.00",Residential,1629,Bush Lake
10533 RHODE ISLAND AVE S,04/29/2021,"$260,000.00",Residential,960,Countryside
11446 ZION RD,03/26/2020,"$514,000.00",Residential,2412,Auto Club
9332 PENN AVE S,06/21/2022,"$340,000.00",Residential,1162,Marsh Lake
9342 PENN AVE S,06/22/2022,"$330,000.00",Residential,1154,Marsh Lake
10549 OREGON CIR,07/20/2020,"$389,500.00",Residential,1196,Countryside
9340 PENN AVE S,06/22/2022,"$330,000.00",Residential,1154,Marsh Lake
9783 CAVELL CIR,07/23/2021,"$268,000.00",Residential,960,Countryside
